Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
01.01.2024 00:00 - 01.01.2024 00:15,10783.0,11257.0
01.01.2024 00:15 - 01.01.2024 00:30,10713.0,11279.0
01.01.2024 00:30 - 01.01.2024 00:45,10626.0,11291.0
01.01.2024 00:45 - 01.01.2024 01:00,10527.0,11266.0
01.01.2024 01:00 - 01.01.2024 01:15,10457.0,11312.0
01.01.2024 01:15 - 01.01.2024 01:30,10335.0,11281.0
01.01.2024 01:30 - 01.01.2024 01:45,10290.0,11248.0
01.01.2024 01:45 - 01.01.2024 02:00,10235.0,11128.0
01.01.2024 02:00 - 01.01.2024 02:15,10233.0,11127.0
01.01.2024 02:15 - 01.01.2024 02:30,10221.0,11074.0
01.01.2024 02:30 - 01.01.2024 02:45,10135.0,10982.0
01.01.2024 02:45 - 01.01.2024 03:00,10107.0,10894.0
01.01.2024 03:00 - 01.01.2024 03:15,10075.0,10848.0
01.01.2024 03:15 - 01.01.2024 03:30,10015.0,10758.0
01.01.2024 03:30 - 01.01.2024 03:45,10004.0,10783.0
01.01.2024 03:45 - 01.01.2024 04:00,10008.0,10715.0
01.01.2024 04:00 - 01.01.2024 04:15,10037.0,10703.0
01.01.2024 04:15 - 01.01.2024 04:30,10086.0,10627.0
01.01.2024 04:30 - 01.01.2024 04:45,10111.0,10598.0
01.01.2024 04:45 - 01.01.2024 05:00,10137.0,10580.0
01.01.2024 05:00 - 01.01.2024 05:15,10223.0,10614.0
01.01.2024 05:15 - 01.01.2024 05:30,10298.0,10662.0
01.01.2024 05:30 - 01.01.2024 05:45,10376.0,10710.0
01.01.2024 05:45 - 01.01.2024 06:00,10499.0,10727.0
01.01.2024 06:00 - 01.01.2024 06:15,10620.0,10852.0
01.01.2024 06:15 - 01.01.2024 06:30,10915.0,10861.0
01.01.2024 06:30 - 01.01.2024 06:45,11149.0,10875.0
01.01.2024 06:45 - 01.01.2024 07:00,11390.0,10912.0
01.01.2024 07:00 - 01.01.2024 07:15,11736.0,11052.0
01.01.2024 07:15 - 01.01.2024 07:30,12128.0,11076.0
01.01.2024 07:30 - 01.01.2024 07:45,12443.0,11202.0
01.01.2024 07:45 - 01.01.2024 08:00,12748.0,11252.0
01.01.2024 08:00 - 01.01.2024 08:15,13016.0,11382.0
01.01.2024 08:15 - 01.01.2024 08:30,13313.0,11557.0
01.01.2024 08:30 - 01.01.2024 08:45,13524.0,11624.0
01.01.2024 08:45 - 01.01.2024 09:00,13719.0,11686.0
01.01.2024 09:00 - 01.01.2024 09:15,13830.0,11790.0
01.01.2024 09:15 - 01.01.2024 09:30,13943.0,11850.0
01.01.2024 09:30 - 01.01.2024 09:45,13963.0,11912.0
